device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName
CPE-14,20.20.72.14,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE14KSA,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE-50,20.20.16.50,1,1,IPC00012,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,2050,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE1-SIN-HYBRID,20.20.72.1,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE01KSA,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE16-SIN-MPLSONLY,20.20.72.16,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE16KSA,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE19,20.20.16.19,1,2,IPC00012,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,CPE1234MPLSKSA1921011,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE19-IPC00172,20.20.72.19,1,2,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE1921012,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE20,20.20.16.20,1,2,IPC00012,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE1234MPLSKSA2022011,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE22HKG-HYBRID,20.20.72.22,1,2,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,CPE22KSA,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE23-SIN-HYBRID,20.20.72.23,1,2,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,CPE23KSA,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE25-Performance-DUT,20.20.90.25,1,3,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE53KSA,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE26-HKG2-DUAL-HYB-IPC00194,20.20.94.26,1,3,IPC00194,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE26ESC01,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE27-HKG2-SINGLE-CPE-DUAL-INTERNET18,20.20.90.27,1,3,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE27ySAB9,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE31-Performance-810,20.20.90.31,1,3,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,J2KSA3346593,FWA-5020U-00A1R,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE4-SIN-HYBRID,20.20.72.4,1,3,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE04KSA,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE45-VoIP,20.20.90.45,1,4,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,KSD0144154,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE5,20.20.16.5,1,4,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSD0098805,FWA-1320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE6,20.20.16.6,1,4,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2222880,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE7,20.20.16.7,1,4,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,KSA2929969,FWA-1010VC,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
CPE8,20.20.16.8,1,4,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2953010,FWA-1010VC,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
NV-CGW11-N6-SIN,10.83.46.138,1,5,Colt,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA3345391,FWA-5020U-00A1R,versa-flexvnf-20180508-112757-d1653f6-16.1R2S2.2
NV-CGW12-N6-SIN,10.83.46.139,1,5,Colt,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA3346590,FWA-5020U-00A1R,versa-flexvnf-20180508-112757-d1653f6-16.1R2S2.2
NV-CGW21-N5-LON,10.83.46.165,1,5,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-CGW22-N5-LON,10.83.46.167,1,5,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-FW01-N1-HKG,10.83.44.33,1,5,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-FW01-N6-SIN,10.83.46.130,1,6,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-FW02-N1-HKG,10.83.44.58,1,6,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-FW02-N6-SIN,10.63.46.131,1,6,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-GW-BR-LON,10.83.46.140,1,6,Colt,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,AKA1234567,FWA-1012VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
NV-GW01-N1-HKG,10.83.44.37,1,6,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-GW01-N5-LON,10.83.46.61,1,7,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-GW01-N6-SIN,10.83.46.135,1,7,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-GW02-N1-HKG,10.83.44.60,1,7,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-GW02-N5-LON,10.83.46.60,1,7,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-GW02-N6-SIN,10.63.46.133,1,7,Colt,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-WC01-N1-HKG,10.83.44.35,1,8,Colt,controller,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-WC01-N5-LON,10.83.46.57,1,8,Colt,controller,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-WC01-N6-SIN,10.83.46.133,1,8,Colt,controller,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-WC02-N1-HKG,10.83.44.62,1,8,Colt,controller,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-WC02-N5-LON,10.83.46.56,1,8,Colt,controller,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-WC02-N6-SIN,10.63.46.132,1,9,Colt,controller,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,Not Specified,"Standard PC (i440FX + PIIX, 1996)",versa-flexvnf-20190628-153900-80561de-16.1R2S9
UCPE3,20.20.72.153,1,9,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,UCPE3,OpenStack Compute,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
UCPE7,20.20.72.157,1,9,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,UCPE7,OpenStack Compute,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
