device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName
CPE-14,20.20.72.14,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE14KSA,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE-34-HKG-PERF,20.20.72.34,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,KSA634,FWA-5020U-00A1R,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE-50,20.20.72.50,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,2050,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE1-SIN-HYBRID,20.20.72.1,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE01KSA,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE16-SIN-MPLSONLY,20.20.72.16,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE16KSA,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE19-IPC00172,20.20.72.19,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE1921012,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE20,20.20.16.20,1,1,IPC00012,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE1234MPLSKSA2022011,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE22HKG-HYBRID,20.20.72.22,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,CPE22KSA,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm
CPE25-Performance-DUT,20.20.90.25,1,1,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE53KSA,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE26-HKG2-DUAL-HYB-IPC00194,20.20.94.26,1,1,IPC00194,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE26ESC01,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE27-HKG2-SINGLE-CPE-DUAL-INTERNET18,20.20.90.27,1,1,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CPE27ySAB9,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE31-Performance-810,20.20.90.31,1,1,IPC00190,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,J2KSA3346593,FWA-5020U-00A1R,versa-flexvnf-20190628-153900-80561de-16.1R2S9
CPE34-HKG-DUAL-HYBRID-MPLS-PRIMARY,20.20.72.34,1,1,IPC00172,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,KSA634,FWA-5020U-00A1R,versa-flexvnf-20190628-153900-80561de-16.1R2S9
