cpe,filename,sec_patch_execuiton
CPE-1,/opt/versa/scripts/vshell,Ping failed
CPE-18,/opt/versa/scripts/vshell,File Modification done
CPE-17-sec,/opt/versa/scripts/vshell,File Modification done
CPE-131-Manish-4G,/opt/versa/scripts/vshell,Ping failed
CPE-13,/opt/versa/scripts/vshell,Ping failed
CPE-16,/opt/versa/scripts/vshell,Ping failed
CPE-14,/opt/versa/scripts/vshell,Ping failed
CPE-15,/opt/versa/scripts/vshell,Ping failed
CPE-34,/opt/versa/scripts/vshell,Ping failed
CPE-32,/opt/versa/scripts/vshell,Ping failed
CPE-25,/opt/versa/scripts/vshell,Ping failed
CPE-24,/opt/versa/scripts/vshell,Ping failed
CPE-23-New,/opt/versa/scripts/vshell,Ping failed
CPE-29,/opt/versa/scripts/vshell,Ping failed
CPE-39,/opt/versa/scripts/vshell,Ping failed
CPE-19,/opt/versa/scripts/vshell,File Modification done
CPE-22-New,/opt/versa/scripts/vshell,Ping failed
CPE-4,/opt/versa/scripts/vshell,File Modification done
CPE-5,/opt/versa/scripts/vshell,Ping failed
CPE-54,/opt/versa/scripts/vshell,Ping failed
CPE-46,/opt/versa/scripts/vshell,File Modification done
CPE-41,/opt/versa/scripts/vshell,Ping failed
CPE-40,/opt/versa/scripts/vshell,Ping failed
CPE-51,/opt/versa/scripts/vshell,Ping failed
CPE-52,/opt/versa/scripts/vshell,Ping failed
CPE-53,/opt/versa/scripts/vshell,Ping failed
CPE-8-Manish,/opt/versa/scripts/vshell,Ping failed
CPE11,/opt/versa/scripts/vshell,File Modification done
CPE-6,/opt/versa/scripts/vshell,Ping failed
CPE-8,/opt/versa/scripts/vshell,Ping failed
CPE-9,/opt/versa/scripts/vshell,Ping failed
CPE12,/opt/versa/scripts/vshell,File Modification done
CPE07,/opt/versa/scripts/vshell,Ping failed
CPE-61,/opt/versa/scripts/vshell,Ping failed
CPE-60,/opt/versa/scripts/vshell,Ping failed
CPE60,/opt/versa/scripts/vshell,Ping failed
CPE49,/opt/versa/scripts/vshell,Ping failed
CPE48,/opt/versa/scripts/vshell,Ping failed
CPE50,/opt/versa/scripts/vshell,Ping failed
CPE42,/opt/versa/scripts/vshell,File Modification done
CPE38,/opt/versa/scripts/vshell,Ping failed
CPE35,/opt/versa/scripts/vshell,Ping failed
CPE55-VM,/opt/versa/scripts/vshell,Ping failed
CPE31,/opt/versa/scripts/vshell,Ping failed
CPE61,/opt/versa/scripts/vshell,Ping failed
FEEFAUTO-CPE27,/opt/versa/scripts/vshell,Ping failed
FKKFAUTO-CPE27,/opt/versa/scripts/vshell,Ping failed
DEMO-1,/opt/versa/scripts/vshell,Ping failed
DEMO-2,/opt/versa/scripts/vshell,Ping failed
DEMO2-CPE1-MUM,/opt/versa/scripts/vshell,Ping failed
DEMO-5,/opt/versa/scripts/vshell,Ping failed
DUAL-MPLS-VM-CPE-B,/opt/versa/scripts/vshell,File Modification done
DEMO1-CPE1-MUM,/opt/versa/scripts/vshell,Ping failed
JAN18-CPE2-BLR,/opt/versa/scripts/vshell,Ping failed
NV-FW02-N2-BLR,/opt/versa/scripts/vshell,File Modification done
Manish-5020-UCPE,/opt/versa/scripts/vshell,Ping failed
NV-FW01-N2-BLR,/opt/versa/scripts/vshell,File Modification done
NV-FW01-N4-MUM,/opt/versa/scripts/vshell,File Modification done
JAN23-CPE1-MUM,/opt/versa/scripts/vshell,Ping failed
JCPE47,/opt/versa/scripts/vshell,File Modification done
NV-FW01-N5-LON,/opt/versa/scripts/vshell,File Modification done
JAN23-CPE2-MUM,/opt/versa/scripts/vshell,Ping failed
NV-FW02-N5-LON,/opt/versa/scripts/vshell,File Modification done
NV-GW02-N5-LON,/opt/versa/scripts/vshell,File Modification done
NV-FW02-N4-MUM,/opt/versa/scripts/vshell,File Modification done
NV-GW03-N4-MUM,/opt/versa/scripts/vshell,File Modification done
NV-GW02-N4-MUM,/opt/versa/scripts/vshell,VD -> CPE 10.83.43.59 SSH connection failed
NV-GW01-N4-MUM,/opt/versa/scripts/vshell,VD -> CPE 10.83.43.60 SSH connection failed
NV-GW01-N2-BLR,/opt/versa/scripts/vshell,VD -> CPE 10.63.4.36 SSH connection failed
NV-GW01-N5-LON,/opt/versa/scripts/vshell,File Modification done
NV-GW02-N2-BLR,/opt/versa/scripts/vshell,VD -> CPE 10.63.4.37 SSH connection failed
SAMPLE-CONTROLLER,/opt/versa/scripts/vshell,Ping failed
NV-WC01-N5-LON,/opt/versa/scripts/vshell,File Modification done
UCPE2,/opt/versa/scripts/vshell,File Modification done
NV-WC01-N2-BLR,/opt/versa/scripts/vshell,CPE Redispatch failed
SAMPLE-QOS-VM-CPE-A,/opt/versa/scripts/vshell,VD -> CPE 20.20.202.1 SSH connection failed
NV-WC02-N5-LON,/opt/versa/scripts/vshell,File Modification done
NV-WC02-N2-BLR,/opt/versa/scripts/vshell,File Modification done
NV-WC02-N4-MUM,/opt/versa/scripts/vshell,CPE Redispatch failed
NV-WC01-N4-MUM,/opt/versa/scripts/vshell,CPE Redispatch failed
VCPE-20,/opt/versa/scripts/vshell,Ping failed
UCPE3,/opt/versa/scripts/vshell,Ping failed
