cpe,filename,sec_patch_execuiton
CPE10,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.16.10:22
CPE1-SIN-HYBRID,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.1:22
CPE25-Performance-DUT,versa-flexvnf-osspack-20190913.bin,versa-flexvnf-osspack-20190913.bin Patch execuiton failed. Error Found in exec Log
CPE-34-HKG-PERF,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.34:22
CPE19-IPC00172,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.19:22
CPE22HKG-HYBRID,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.22:22
CPE-50,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.50:22
CPE20,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.16.20:22
CPE-14,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.14:22
CPE16-SIN-MPLSONLY,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.16:22
CPE34-SIN-DUAL-HYBRID-MPLS-PRIMARY,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.34:22
CPE26-HKG2-DUAL-HYB-IPC00194,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.94.26:22
CPE4-SIN-HYBRID,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.4:22
CPE3-BLR-HYBRID,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.16.3:22
CPE35-SIN-DUAL-HYBRID-INT-SECONDARY,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.35:22
CPE35-HKG-DUAL-HYBRID-INT-SECONDARY,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.72.35:22
CPE45-VoIP,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.90.45:22
CPE27-HKG2-SINGLE-CPE-DUAL-INTERNET18,versa-flexvnf-osspack-20190913.bin,CONN_ERR: Connection to device timed-out: versa 20.20.90.27:22
